I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;Total P&L;Total No Trades;BucketNoTrades_1;BucketProfit_1;Bucket_LastTradeBreach_1;BucketEndDate_1;BucketNoTrades_2;BucketProfit_2;Bucket_LastTradeBreach_2;BucketEndDate_2;BucketNoTrades_3;BucketProfit_3;Bucket_LastTradeBreach_3;BucketEndDate_3;BucketNoTrades_4;BucketProfit_4;Bucket_LastTradeBreach_4;BucketEndDate_4;BucketNoTrades_5;BucketProfit_5;Bucket_LastTradeBreach_5;BucketEndDate_5;BucketNoTrades_6;BucketProfit_6;Bucket_LastTradeBreach_6;BucketEndDate_6;BucketNoTrades_7;BucketProfit_7;Bucket_LastTradeBreach_7;BucketEndDate_7;BucketNoTrades_8;BucketProfit_8;Bucket_LastTradeBreach_8;BucketEndDate_8;BucketNoTrades_9;BucketProfit_9;Bucket_LastTradeBreach_9;BucketEndDate_9;BucketNoTrades_10;BucketProfit_10;Bucket_LastTradeBreach_10;BucketEndDate_10;BucketNoTrades_11;BucketProfit_11;Bucket_LastTradeBreach_11;BucketEndDate_11;BucketNoTrades_12;BucketProfit_12;Bucket_LastTradeBreach_12;BucketEndDate_12;BucketNoTrades_13;BucketProfit_13;Bucket_LastTradeBreach_13;BucketEndDate_13;BucketNoTrades_14;BucketProfit_14;Bucket_LastTradeBreach_14;BucketEndDate_14;BucketNoTrades_15;BucketProfit_15;Bucket_LastTradeBreach_15;BucketEndDate_15;BucketNoTrades_16;BucketProfit_16;Bucket_LastTradeBreach_16;BucketEndDate_16;BucketNoTrades_17;BucketProfit_17;Bucket_LastTradeBreach_17;BucketEndDate_17;BucketNoTrades_18;BucketProfit_18;Bucket_LastTradeBreach_18;BucketEndDate_18;
20200505;4;20.0000;ATRMultiplier;40;3.5000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;-1625.4731;493;19;-56.5143;False;2003.01.01;34;-42.7223;False;2004.01.01;26;-42.6939;False;2004.12.31;17;40.1251;False;2005.12.31;20;-100.4037;False;2006.12.31;17;-39.3665;False;2007.12.31;11;-71.6085;False;2008.12.30;19;-55.3828;False;2009.12.30;32;-279.1720;False;2010.12.30;21;-129.8771;False;2011.12.30;34;67.3121;False;2012.12.29;33;-172.9312;False;2013.12.29;29;-119.7023;False;2014.12.29;35;-208.5669;False;2015.12.29;35;-150.0409;False;2016.12.28;36;-39.9262;False;2017.12.28;37;-250.7375;False;2018.12.28;38;26.7358;False;2019.12.28;
20200505;5;20.0000;ATRMultiplier;40;3.5000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;-2397.2755;618;19;-214.0032;False;2003.01.01;42;4.4425;False;2004.01.01;29;-189.4939;False;2004.12.31;27;37.1232;False;2005.12.31;24;81.2000;False;2006.12.31;20;-73.0512;False;2007.12.31;12;15.0343;False;2008.12.30;40;-183.5882;False;2009.12.30;33;-272.1853;False;2010.12.30;32;-240.0893;False;2011.12.30;39;1.6079;False;2012.12.29;40;-223.1144;False;2013.12.29;39;-260.5476;False;2014.12.29;47;68.7972;False;2015.12.29;36;-308.7264;False;2016.12.28;43;-251.5200;False;2017.12.28;51;-176.1021;False;2018.12.28;45;-213.0589;False;2019.12.28;
20200505;6;20.0000;ATRMultiplier;40;3.5000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;-2547.6274;772;26;-256.6058;False;2003.01.01;44;36.6212;False;2004.01.01;37;-185.2103;False;2004.12.31;28;123.4127;False;2005.12.31;32;-180.9060;False;2006.12.31;32;-193.8207;False;2007.12.31;18;-85.7592;False;2008.12.30;40;28.3612;False;2009.12.30;46;-124.7020;False;2010.12.30;43;-193.9676;False;2011.12.30;46;-119.8953;False;2012.12.29;57;-530.5229;False;2013.12.29;54;-360.8424;False;2014.12.29;61;-84.4446;False;2015.12.29;45;-27.5121;False;2016.12.28;51;-168.4446;False;2017.12.28;54;-150.7343;False;2018.12.28;58;-72.6545;False;2019.12.28;
20200505;4;20.0000;ATRMultiplier;50;3.5000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;-1366.4224;433;18;-70.8304;False;2003.01.01;29;6.3441;False;2004.01.01;21;14.5851;False;2004.12.31;13;-28.6921;False;2005.12.31;17;-108.7800;False;2006.12.31;14;-54.3851;False;2007.12.31;11;-69.7285;False;2008.12.30;17;-117.2776;False;2009.12.30;27;-297.6503;False;2010.12.30;20;-127.0267;False;2011.12.30;33;101.2106;False;2012.12.29;30;-78.7850;False;2013.12.29;27;-138.8318;False;2014.12.29;32;-126.3870;False;2015.12.29;27;-152.5755;False;2016.12.28;30;-43.5205;False;2017.12.28;31;-100.2226;False;2018.12.28;36;26.1309;False;2019.12.28;
20200505;5;20.0000;ATRMultiplier;50;3.5000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;-2018.3304;537;18;-244.3902;False;2003.01.01;36;94.6411;False;2004.01.01;26;-118.4415;False;2004.12.31;23;65.1773;False;2005.12.31;18;46.6527;False;2006.12.31;13;-69.9996;False;2007.12.31;10;-33.8262;False;2008.12.30;36;-145.9200;False;2009.12.30;29;-359.7344;False;2010.12.30;29;-165.2878;False;2011.12.30;36;81.1438;False;2012.12.29;38;-139.3701;False;2013.12.29;33;-269.2334;False;2014.12.29;43;13.8637;False;2015.12.29;31;-313.4165;False;2016.12.28;33;-218.3213;False;2017.12.28;42;-120.3081;False;2018.12.28;43;-121.5598;False;2019.12.28;
20200505;6;20.0000;ATRMultiplier;50;3.5000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;-2789.5939;682;23;-258.0818;False;2003.01.01;38;18.0320;False;2004.01.01;34;-143.8441;False;2004.12.31;25;91.3623;False;2005.12.31;27;-187.6786;False;2006.12.31;26;-170.1109;False;2007.12.31;15;-39.5374;False;2008.12.30;35;-58.1910;False;2009.12.30;43;-109.6867;False;2010.12.30;38;-235.9344;False;2011.12.30;41;-74.1999;False;2012.12.29;50;-611.8332;False;2013.12.29;48;-348.9148;False;2014.12.29;55;-160.9118;False;2015.12.29;41;-157.5138;False;2016.12.28;40;-162.8750;False;2017.12.28;48;-164.8036;False;2018.12.28;55;-14.8711;False;2019.12.28;
20200505;4;20.0000;ATRMultiplier;-90;4.0000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;550.7644;349;13;26.2506;False;2003.01.01;21;43.0235;False;2004.01.01;10;1.1461;False;2004.12.31;13;132.5993;False;2005.12.31;12;56.2323;False;2006.12.31;23;-31.1229;False;2007.12.31;8;-50.6650;False;2008.12.30;25;-84.1058;False;2009.12.30;15;48.0606;False;2010.12.30;17;99.2703;False;2011.12.30;23;-3.8465;False;2012.12.29;27;92.8224;False;2013.12.29;14;100.4828;False;2014.12.29;26;-40.4474;False;2015.12.29;17;-46.5529;False;2016.12.28;27;274.0853;False;2017.12.28;23;95.8835;False;2018.12.28;35;-162.3520;False;2019.12.28;
20200505;5;20.0000;ATRMultiplier;-90;4.0000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;-486.4168;429;16;-50.9947;False;2003.01.01;22;-14.7313;False;2004.01.01;21;-112.6386;False;2004.12.31;16;140.7394;False;2005.12.31;9;55.8110;False;2006.12.31;17;-56.2438;False;2007.12.31;7;-43.3014;False;2008.12.30;27;-135.4210;False;2009.12.30;29;37.1719;False;2010.12.30;16;0.5967;False;2011.12.30;22;83.3071;False;2012.12.29;36;90.1726;False;2013.12.29;24;-143.0143;False;2014.12.29;44;0.6467;False;2015.12.29;17;-122.4914;False;2016.12.28;32;90.2299;False;2017.12.28;36;-174.4070;False;2018.12.28;38;-131.8486;False;2019.12.28;
20200505;6;20.0000;ATRMultiplier;-90;4.0000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;626.8885;520;15;53.4481;False;2003.01.01;27;28.7436;False;2004.01.01;20;-31.6333;False;2004.12.31;22;175.5914;False;2005.12.31;14;79.1070;False;2006.12.31;23;-94.0753;False;2007.12.31;11;85.8903;False;2008.12.30;35;-102.2708;False;2009.12.30;35;34.5679;False;2010.12.30;23;102.5574;False;2011.12.30;34;-33.4069;False;2012.12.29;46;390.8203;False;2013.12.29;33;-76.5357;False;2014.12.29;41;-106.7311;False;2015.12.29;25;-28.2072;False;2016.12.28;34;158.5644;False;2017.12.28;37;25.6474;False;2018.12.28;45;-35.1889;False;2019.12.28;
20200505;4;20.0000;ATRMultiplier;-80;4.0000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;670.7837;386;13;27.2506;False;2003.01.01;21;66.1151;False;2004.01.01;12;24.3937;False;2004.12.31;14;132.0579;False;2005.12.31;14;39.9423;False;2006.12.31;22;-14.1029;False;2007.12.31;9;-66.9750;False;2008.12.30;27;-90.1879;False;2009.12.30;16;75.8749;False;2010.12.30;19;97.4398;False;2011.12.30;26;79.7185;False;2012.12.29;31;101.2548;False;2013.12.29;17;62.7066;False;2014.12.29;29;-7.0384;False;2015.12.29;20;-66.6973;False;2016.12.28;30;308.9253;False;2017.12.28;26;101.2230;False;2018.12.28;40;-201.1174;False;2019.12.28;
