I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;NoTrades;Profit;NoTradeBreaches;EndDate;NoPosBuckets;NoPosConBuckets;ProfitPerTrade;
20200505;4;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;94;25.7573;0;2014.04.05;26;3;0.274013829787234;
20200505;5;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;93;118.7199;0;2014.04.05;27;5;1.27655806451613;
20200505;6;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;134;-11.6008;0;2014.04.05;23;3;-8.65731343283585E-02;
20200505;4;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;111;219.8634;0;2014.04.05;27;0;1.98075135135135;
20200505;5;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;116;311.3014;0;2014.04.05;32;7;2.68363275862069;
20200505;6;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;160;78.315;0;2014.04.05;25;3;0.48946875;
20200505;4;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;130;206.3386;0;2014.04.05;25;0;1.58722;
20200505;5;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;147;332.4982;0;2014.04.05;27;1;2.2618925170068;
20200505;6;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;202;52.7860999999999;0;2014.04.05;25;3;0.261317326732673;
20200505;4;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;164;189.2103;0;2014.04.05;23;0;1.15372134146341;
20200505;5;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;206;280.1469;0;2014.04.05;26;1;1.35993640776699;
20200505;6;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;261;434.2416;0;2014.04.05;27;3;1.66376091954023;
20200505;4;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;195;654.8826;0;2014.04.05;27;0;3.35837230769231;
20200505;5;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;251;216.1817;0;2014.04.05;26;0;0.861281673306773;
20200505;6;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;328;494.4483;0;2014.04.05;27;3;1.50746432926829;
20200505;4;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;240;638.2747;0;2014.04.05;24;0;2.65947791666667;
20200505;5;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;307;366.3867;0;2014.04.05;27;1;1.19344201954397;
20200505;6;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;408;221.595;0;2014.04.05;25;3;0.543125;
20200505;4;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;298;137.34;0;2014.04.05;21;0;0.460872483221476;
20200505;5;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;389;168.8742;0;2014.04.05;28;1;0.434123907455013;
20200505;6;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;512;-42.5021;0;2014.04.05;27;1;-0.0830119140625;
20200505;4;20;ATRMultiplier;-20;1;0.0003;5;1.5;60;0;8;19;1;369;-72.4206;0;2014.04.05;19;0;-0.196261788617886;
20200505;5;20;ATRMultiplier;-20;1;0.0003;5;1.5;60;0;8;19;1;485;-19.4568000000001;0;2014.04.05;26;1;-0.040117113402062;
20200505;6;20;ATRMultiplier;-20;1;0.0003;5;1.5;60;0;8;19;1;614;-358.3599;0;2014.04.05;24;1;-0.583648045602606;
20200505;4;20;ATRMultiplier;-10;1;0.0003;5;1.5;60;0;8;19;1;419;-563.1123;0;2014.04.05;20;0;-1.34394343675418;
20200505;5;20;ATRMultiplier;-10;1;0.0003;5;1.5;60;0;8;19;1;544;-442.3801;0;2014.04.05;23;1;-0.813198713235294;
20200505;6;20;ATRMultiplier;-10;1;0.0003;5;1.5;60;0;8;19;1;695;-1016.1146;0;2014.04.05;21;0;-1.46203539568345;
20200505;4;20;ATRMultiplier;0;1;0.0003;5;1.5;60;0;8;19;1;423;-997.9524;0;2014.04.05;19;0;-2.35922553191489;
20200505;5;20;ATRMultiplier;0;1;0.0003;5;1.5;60;0;8;19;1;570;-434.9319;0;2014.04.05;23;0;-0.763038421052632;
20200505;6;20;ATRMultiplier;0;1;0.0003;5;1.5;60;0;8;19;1;739;-1504.0869;0;2014.04.05;19;0;-2.03530027063599;
20200505;4;20;ATRMultiplier;10;1;0.0003;5;1.5;60;0;8;19;1;335;-1162.8206;0;2014.04.05;20;0;-3.47110626865672;
20200505;5;20;ATRMultiplier;10;1;0.0003;5;1.5;60;0;8;19;1;440;-630.9893;0;2014.04.05;20;1;-1.43406659090909;
20200505;6;20;ATRMultiplier;10;1;0.0003;5;1.5;60;0;8;19;1;577;-1818.7765;0;2014.04.05;12;0;-3.15212564991334;
20200505;4;20;ATRMultiplier;20;1;0.0003;5;1.5;60;0;8;19;1;257;-746.7466;0;2014.04.05;18;1;-2.90562879377432;
20200505;5;20;ATRMultiplier;20;1;0.0003;5;1.5;60;0;8;19;1;331;-1134.5387;0;2014.04.05;19;1;-3.42760936555891;
