I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;NoTrades;Profit;NoTradeBreaches;EndDate;NoPosBuckets;NoPosConBuckets;ProfitPerTrade;
20200505;4;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;105;275.2665;0;2016.07.02;27;3;2.62158571428572;
20200505;5;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;123;196.401;0;2016.07.02;27;2;1.59675609756098;
20200505;6;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;166;-11.6594;0;2016.07.02;24;1;-7.02373493975906E-02;
20200505;4;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;126;334.7897;0;2016.07.02;27;3;2.65706111111111;
20200505;5;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;149;214.6034;0;2016.07.02;31;2;1.44029127516779;
20200505;6;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;197;129.0786;0;2016.07.02;26;1;0.655221319796954;
20200505;4;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;146;387.102;0;2016.07.02;27;3;2.65138356164384;
20200505;5;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;180;283.7824;0;2016.07.02;28;2;1.57656888888889;
20200505;6;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;244;33.2893000000001;0;2016.07.02;26;1;0.13643155737705;
20200505;4;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;183;417.3401;0;2016.07.02;26;1;2.28054699453552;
20200505;5;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;242;223.8251;0;2016.07.02;28;2;0.924897107438016;
20200505;6;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;305;472.7174;0;2016.07.02;31;1;1.5498931147541;
20200505;4;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;218;894.4292;0;2016.07.02;30;3;4.10288623853211;
20200505;5;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;295;259.604;0;2016.07.02;27;2;0.880013559322034;
20200505;6;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;377;598.4498;0;2016.07.02;30;3;1.5874;
20200505;4;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;268;913.1626;0;2016.07.02;27;1;3.40732313432836;
20200505;5;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;369;101.6535;0;2016.07.02;26;0;0.275483739837398;
20200505;6;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;472;314.4177;0;2016.07.02;27;1;0.666139194915254;
20200505;4;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;338;584.9707;0;2016.07.02;24;0;1.7306825443787;
20200505;5;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;447;560.0438;0;2016.07.02;31;0;1.25289440715884;
20200505;6;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;590;476.1639;0;2016.07.02;29;0;0.807057457627119;
20200505;4;20;ATRMultiplier;-20;1;0.0003;5;1.5;60;0;8;19;1;418;289.4924;0;2016.07.02;24;0;0.692565550239234;
20200505;5;20;ATRMultiplier;-20;1;0.0003;5;1.5;60;0;8;19;1;554;145.7767;0;2016.07.02;26;0;0.263134837545127;
20200505;6;20;ATRMultiplier;-20;1;0.0003;5;1.5;60;0;8;19;1;719;-289.6668;0;2016.07.02;24;0;-0.40287454798331;
20200505;4;20;ATRMultiplier;-10;1;0.0003;5;1.5;60;0;8;19;1;471;-296.164;0;2016.07.02;23;0;-0.6287983014862;
20200505;5;20;ATRMultiplier;-10;1;0.0003;5;1.5;60;0;8;19;1;633;-600.5045;0;2016.07.02;23;0;-0.94866429699842;
20200505;6;20;ATRMultiplier;-10;1;0.0003;5;1.5;60;0;8;19;1;819;-1262.6416;0;2016.07.02;19;0;-1.54168693528694;
20200505;4;20;ATRMultiplier;0;1;0.0003;5;1.5;60;0;8;19;1;491;-1271.4344;0;2016.07.02;19;0;-2.58947942973523;
20200505;5;20;ATRMultiplier;0;1;0.0003;5;1.5;60;0;8;19;1;674;-1071.3499;0;2016.07.02;21;0;-1.58953991097923;
20200505;6;20;ATRMultiplier;0;1;0.0003;5;1.5;60;0;8;19;1;883;-2210.9005;0;2016.07.02;16;0;-2.50385107587769;
20200505;4;20;ATRMultiplier;10;1;0.0003;5;1.5;60;0;8;19;1;393;-1648.1354;0;2016.07.02;19;0;-4.19372875318066;
20200505;5;20;ATRMultiplier;10;1;0.0003;5;1.5;60;0;8;19;1;540;-1280.5409;0;2016.07.02;21;0;-2.37137203703704;
20200505;6;20;ATRMultiplier;10;1;0.0003;5;1.5;60;0;8;19;1;701;-2536.592;0;2016.07.02;12;0;-3.6185335235378;
20200505;4;20;ATRMultiplier;20;1;0.0003;5;1.5;60;0;8;19;1;302;-1078.1354;0;2016.07.02;18;0;-3.56998476821192;
20200505;5;20;ATRMultiplier;20;1;0.0003;5;1.5;60;0;8;19;1;412;-1949.2113;0;2016.07.02;19;0;-4.73109538834951;
20200505;6;20;ATRMultiplier;20;1;0.0003;5;1.5;60;0;8;19;1;536;-3084.5931;0;2016.07.02;12;0;-5.75483787313433;
20200505;4;20;ATRMultiplier;30;1;0.0003;5;1.5;60;0;8;19;1;219;-932.9566;0;2016.07.02;17;2;-4.26007579908676;
20200505;5;20;ATRMultiplier;30;1;0.0003;5;1.5;60;0;8;19;1;317;-1684.5263;0;2016.07.02;19;0;-5.31396309148265;
20200505;6;20;ATRMultiplier;30;1;0.0003;5;1.5;60;0;8;19;1;402;-2561.6543;0;2016.07.02;14;2;-6.37227437810945;
20200505;4;20;ATRMultiplier;40;1;0.0003;5;1.5;60;0;8;19;1;175;-1119.3025;0;2016.07.02;17;0;-6.39601428571429;
20200505;5;20;ATRMultiplier;40;1;0.0003;5;1.5;60;0;8;19;1;250;-1871.1696;0;2016.07.02;13;0;-7.4846784;
20200505;6;20;ATRMultiplier;40;1;0.0003;5;1.5;60;0;8;19;1;329;-2184.0571;0;2016.07.02;16;2;-6.63847142857143;
20200505;4;20;ATRMultiplier;50;1;0.0003;5;1.5;60;0;8;19;1;137;-958.4031;0;2016.07.02;17;0;-6.99564306569343;
20200505;5;20;ATRMultiplier;50;1;0.0003;5;1.5;60;0;8;19;1;195;-1600.7996;0;2016.07.02;15;0;-8.20922871794872;
20200505;6;20;ATRMultiplier;50;1;0.0003;5;1.5;60;0;8;19;1;251;-2376.8379;0;2016.07.02;8;0;-9.46947370517928;
20200505;4;20;ATRMultiplier;-90;1.5;0.0003;5;1.5;60;0;8;19;1;104;306.0857;0;2016.07.02;29;3;2.94313173076923;
