I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;NoTrades;Profit;NoTradeBreaches;EndDate;NoPosBuckets;NoPosConBuckets;ProfitPerTrade;
20200505;4;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;6;-8.4638;False;2019.04.06;0;0;-1.41063333333333;
20200505;5;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;3;-3.8;False;2019.04.06;0;0;-1.26666666666667;
20200505;6;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;4;-22.06;False;2019.04.06;0;0;-5.515;
20200505;4;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;6;-8.2038;False;2019.04.06;0;0;-1.3673;
20200505;5;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;3;-3.88;False;2019.04.06;0;0;-1.29333333333333;
20200505;6;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;4;-22.26;False;2019.04.06;0;0;-5.565;
20200505;4;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;9;91.3462;False;2019.04.06;1;1;10.1495777777778;
20200505;5;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;8;6.4101;False;2019.04.06;1;1;0.8012625;
20200505;6;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;9;36.5304;False;2019.04.06;1;1;4.05893333333333;
20200505;4;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;11;52.3462;False;2019.04.06;1;1;4.75874545454545;
20200505;5;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;10;70.5701;False;2019.04.06;1;1;7.05701;
20200505;6;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;13;-39.9496;False;2019.04.06;0;0;-3.07304615384615;
20200505;4;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;12;33.1962;False;2019.04.06;1;1;2.76635;
20200505;5;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;13;62.2247;False;2019.04.06;1;1;4.78651538461538;
20200505;6;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;16;-46.1996;False;2019.04.06;0;0;-2.887475;
20200505;4;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;18;-27.7638;False;2019.04.06;0;0;-1.54243333333333;
20200505;5;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;18;14.0247;False;2019.04.06;1;1;0.77915;
20200505;6;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;20;33.4789;False;2019.04.06;1;1;1.673945;
20200505;4;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;20;25.6862;False;2019.04.06;1;1;1.28431;
20200505;5;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;22;-9.8853;False;2019.04.06;0;0;-0.449331818181818;
20200505;6;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;25;41.798;False;2019.04.06;1;1;1.67192;
20200505;4;20;ATRMultiplier;-20;1;0.0003;5;1.5;60;0;8;19;1;26;65.3462;False;2019.04.06;1;1;2.51331538461538;
