I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;NoTrades;Profit;NoTradeBreaches;EndDate;NoPosBuckets;NoPosConBuckets;ProfitPerTrade;
20200505;4;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;119;418.7593;0;2018.12.28;6;6;3.51898571428571;
20200505;5;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;148;424.4613;0;2018.12.28;5;0;2.86798175675676;
20200505;6;20;ATRMultiplier;-90;1;0.0003;5;1.5;60;0;8;19;1;171;67.0569;0;2018.12.28;5;2;0.392145614035088;
20200505;4;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;144;457.021;0;2018.12.28;6;4;3.17375694444444;
20200505;5;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;179;340.8593;0;2018.12.28;5;0;1.90424189944134;
20200505;6;20;ATRMultiplier;-80;1;0.0003;5;1.5;60;0;8;19;1;205;196.7054;0;2018.12.28;6;3;0.959538536585366;
20200505;4;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;171;516.7245;0;2018.12.28;6;4;3.02178070175439;
20200505;5;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;217;380.2569;0;2018.12.28;4;0;1.75233594470046;
20200505;6;20;ATRMultiplier;-70;1;0.0003;5;1.5;60;0;8;19;1;253;-125.4852;0;2018.12.28;5;3;-0.495988932806324;
20200505;4;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;218;487.6287;0;2018.12.28;5;0;2.23682889908257;
20200505;5;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;282;304.0697;0;2018.12.28;3;0;1.07826134751773;
20200505;6;20;ATRMultiplier;-60;1;0.0003;5;1.5;60;0;8;19;1;316;268.2377;0;2018.12.28;4;2;0.848853481012658;
20200505;4;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;256;595.8547;0;2018.12.28;5;0;2.327557421875;
20200505;5;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;340;206.5289;0;2018.12.28;4;0;0.60743794117647;
20200505;6;20;ATRMultiplier;-50;1;0.0003;5;1.5;60;0;8;19;1;394;80.7875;0;2018.12.28;4;2;0.205044416243655;
20200505;4;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;319;473.5374;0;2018.12.28;6;2;1.48444326018809;
20200505;5;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;419;-507.6762;0;2018.12.28;3;0;-1.21163770883055;
20200505;6;20;ATRMultiplier;-40;1;0.0003;5;1.5;60;0;8;19;1;504;-615.3963;0;2018.12.28;4;0;-1.2210244047619;
20200505;4;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;405;204.1731;0;2018.12.28;5;0;0.504131111111111;
20200505;5;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;505;185.4403;0;2018.12.28;6;2;0.367208514851485;
20200505;6;20;ATRMultiplier;-30;1;0.0003;5;1.5;60;0;8;19;1;639;-318.5723;0;2018.12.28;4;0;-0.498548200312989;
20200505;4;20;ATRMultiplier;-20;1;0.0003;5;1.5;60;0;8;19;1;494;-370.087;0;2018.12.28;1;0;-0.749163967611336;
20200505;5;20;ATRMultiplier;-20;1;0.0003;5;1.5;60;0;8;19;1;606;-311.0162;0;2018.12.28;5;2;-0.51322805280528;
20200505;6;20;ATRMultiplier;-20;1;0.0003;5;1.5;60;0;8;19;1;765;-1215.2322;0;2018.12.28;1;0;-1.58853882352941;
20200505;4;20;ATRMultiplier;-10;1;0.0003;5;1.5;60;0;8;19;1;531;-1169.2706;0;2018.12.28;1;0;-2.20201619585687;
20200505;5;20;ATRMultiplier;-10;1;0.0003;5;1.5;60;0;8;19;1;669;-1551.2014;0;2018.12.28;1;0;-2.31868669656203;
20200505;6;20;ATRMultiplier;-10;1;0.0003;5;1.5;60;0;8;19;1;852;-1935.1488;0;2018.12.28;1;0;-2.2713014084507;
20200505;4;20;ATRMultiplier;0;1;0.0003;5;1.5;60;0;8;19;1;557;-2417.4332;0;2018.12.28;0;0;-4.34009551166966;
20200505;5;20;ATRMultiplier;0;1;0.0003;5;1.5;60;0;8;19;1;723;-2568.9119;0;2018.12.28;0;0;-3.55312849239281;
20200505;6;20;ATRMultiplier;0;1;0.0003;5;1.5;60;0;8;19;1;911;-3652.6508;0;2018.12.28;0;0;-4.00949593852909;
20200505;4;20;ATRMultiplier;10;1;0.0003;5;1.5;60;0;8;19;1;458;-2067.5118;0;2018.12.28;0;0;-4.51421790393013;
20200505;5;20;ATRMultiplier;10;1;0.0003;5;1.5;60;0;8;19;1;609;-2496.2223;0;2018.12.28;1;0;-4.09888719211823;
20200505;6;20;ATRMultiplier;10;1;0.0003;5;1.5;60;0;8;19;1;748;-3481.2778;0;2018.12.28;0;0;-4.65411470588235;
20200505;4;20;ATRMultiplier;20;1;0.0003;5;1.5;60;0;8;19;1;346;-1634.3026;0;2018.12.28;0;0;-4.72341791907514;
20200505;5;20;ATRMultiplier;20;1;0.0003;5;1.5;60;0;8;19;1;461;-2826.3804;0;2018.12.28;0;0;-6.13097700650759;
20200505;6;20;ATRMultiplier;20;1;0.0003;5;1.5;60;0;8;19;1;562;-3634.6847;0;2018.12.28;0;0;-6.46741049822064;
20200505;4;20;ATRMultiplier;30;1;0.0003;5;1.5;60;0;8;19;1;246;-1535.0766;0;2018.12.28;0;0;-6.24014878048781;
20200505;5;20;ATRMultiplier;30;1;0.0003;5;1.5;60;0;8;19;1;341;-2434.5761;0;2018.12.28;0;0;-7.13951935483871;
20200505;6;20;ATRMultiplier;30;1;0.0003;5;1.5;60;0;8;19;1;420;-3178.5707;0;2018.12.28;0;0;-7.56802547619048;
20200505;4;20;ATRMultiplier;40;1;0.0003;5;1.5;60;0;8;19;1;200;-1398.0689;0;2018.12.28;0;0;-6.9903445;
20200505;5;20;ATRMultiplier;40;1;0.0003;5;1.5;60;0;8;19;1;278;-1890.9274;0;2018.12.28;0;0;-6.80189712230216;
20200505;6;20;ATRMultiplier;40;1;0.0003;5;1.5;60;0;8;19;1;340;-2526.817;0;2018.12.28;0;0;-7.43181470588235;
20200505;4;20;ATRMultiplier;50;1;0.0003;5;1.5;60;0;8;19;1;157;-1222.9771;0;2018.12.28;0;0;-7.78966305732484;
20200505;5;20;ATRMultiplier;50;1;0.0003;5;1.5;60;0;8;19;1;212;-1941.6084;0;2018.12.28;0;0;-9.15853018867925;
20200505;6;20;ATRMultiplier;50;1;0.0003;5;1.5;60;0;8;19;1;257;-2685.2977;0;2018.12.28;0;0;-10.4486291828794;
20200505;4;20;ATRMultiplier;-90;1.5;0.0003;5;1.5;60;0;8;19;1;118;383.467;0;2018.12.28;5;3;3.24972033898305;
20200505;5;20;ATRMultiplier;-90;1.5;0.0003;5;1.5;60;0;8;19;1;147;231.4511;0;2018.12.28;4;0;1.57449727891156;
20200505;6;20;ATRMultiplier;-90;1.5;0.0003;5;1.5;60;0;8;19;1;170;30.8433;0;2018.12.28;4;2;0.181431176470588;
20200505;4;20;ATRMultiplier;-80;1.5;0.0003;5;1.5;60;0;8;19;1;143;360.9147;0;2018.12.28;5;2;2.52387902097902;
20200505;5;20;ATRMultiplier;-80;1.5;0.0003;5;1.5;60;0;8;19;1;177;47.2178;0;2018.12.28;3;0;0.266767231638418;
20200505;6;20;ATRMultiplier;-80;1.5;0.0003;5;1.5;60;0;8;19;1;203;-265.4288;0;2018.12.28;4;2;-1.30753103448276;
20200505;4;20;ATRMultiplier;-70;1.5;0.0003;5;1.5;60;0;8;19;1;169;424.6962;0;2018.12.28;6;2;2.51299526627219;
20200505;5;20;ATRMultiplier;-70;1.5;0.0003;5;1.5;60;0;8;19;1;215;0.15979999999999;0;2018.12.28;3;0;7.43255813953442E-04;
20200505;6;20;ATRMultiplier;-70;1.5;0.0003;5;1.5;60;0;8;19;1;249;-547.1124;0;2018.12.28;2;0;-2.19723855421687;
20200505;4;20;ATRMultiplier;-60;1.5;0.0003;5;1.5;60;0;8;19;1;217;409.6698;0;2018.12.28;5;0;1.88787926267281;
20200505;5;20;ATRMultiplier;-60;1.5;0.0003;5;1.5;60;0;8;19;1;279;-222.6261;0;2018.12.28;2;0;-0.797943010752688;
20200505;6;20;ATRMultiplier;-60;1.5;0.0003;5;1.5;60;0;8;19;1;312;-489.4394;0;2018.12.28;3;0;-1.56871602564103;
20200505;4;20;ATRMultiplier;-50;1.5;0.0003;5;1.5;60;0;8;19;1;251;505.7285;0;2018.12.28;5;2;2.01485458167331;
20200505;5;20;ATRMultiplier;-50;1.5;0.0003;5;1.5;60;0;8;19;1;331;-183.3059;0;2018.12.28;2;0;-0.553794259818731;
20200505;6;20;ATRMultiplier;-50;1.5;0.0003;5;1.5;60;0;8;19;1;380;-370.1815;0;2018.12.28;4;0;-0.974161842105263;
20200505;4;20;ATRMultiplier;-40;1.5;0.0003;5;1.5;60;0;8;19;1;307;417.6406;0;2018.12.28;4;2;1.36039283387622;
20200505;5;20;ATRMultiplier;-40;1.5;0.0003;5;1.5;60;0;8;19;1;400;-488.7947;0;2018.12.28;1;0;-1.22198675;
20200505;6;20;ATRMultiplier;-40;1.5;0.0003;5;1.5;60;0;8;19;1;481;-451.5284;0;2018.12.28;2;0;-0.938728482328482;
20200505;4;20;ATRMultiplier;-30;1.5;0.0003;5;1.5;60;0;8;19;1;381;98.5658;0;2018.12.28;4;2;0.258702887139108;
20200505;5;20;ATRMultiplier;-30;1.5;0.0003;5;1.5;60;0;8;19;1;478;-569.1151;0;2018.12.28;1;0;-1.19061736401674;
20200505;6;20;ATRMultiplier;-30;1.5;0.0003;5;1.5;60;0;8;19;1;597;-345.468;0;2018.12.28;2;0;-0.578673366834171;
20200505;4;20;ATRMultiplier;-20;1.5;0.0003;5;1.5;60;0;8;19;1;459;-479.496;0;2018.12.28;2;0;-1.04465359477124;
20200505;5;20;ATRMultiplier;-20;1.5;0.0003;5;1.5;60;0;8;19;1;571;-705.3806;0;2018.12.28;4;1;-1.23534255691769;
20200505;6;20;ATRMultiplier;-20;1.5;0.0003;5;1.5;60;0;8;19;1;714;-505.7469;0;2018.12.28;3;1;-0.708328991596639;
20200505;4;20;ATRMultiplier;-10;1.5;0.0003;5;1.5;60;0;8;19;1;489;-1058.8504;0;2018.12.28;0;0;-2.16533824130879;
20200505;5;20;ATRMultiplier;-10;1.5;0.0003;5;1.5;60;0;8;19;1;627;-1386.562;0;2018.12.28;2;0;-2.21142264752791;
